context,prefix,namespace,status
prefixcc,cerif,http://spi-fm.uca.es/neologism/cerif#,canonical
prefixcc,ping,https://namso-gen.com/,canonical
prefixcc,mods,http://www.loc.gov/mods/v3#,canonical
prefixcc,sec,https://w3id.org/security#,canonical
prefixcc,ti,http://www.ontologydesignpatterns.org/cp/owl/timeinterval.owl#,canonical
prefixcc,bd,http://www.bigdata.com/rdf#,canonical
prefixcc,nao,http://www.semanticdesktop.org/ontologies/2007/08/15/nao#,canonical
prefixcc,wikidata,http://www.wikidata.org/entity/,namespace_alias
prefixcc,geosparql,http://www.opengis.net/ont/geosparql#,namespace_alias
prefixcc,lgd,http://linkedgeodata.org/triplify/,canonical
prefixcc,akts,http://www.aktors.org/ontology/support#,canonical
prefixcc,imm,http://schemas.microsoft.com/imm/,canonical
prefixcc,sparql,http://www.w3.org/ns/sparql#,canonical
prefixcc,product,http://purl.org/commerce/product#,canonical
prefixcc,up,http://purl.uniprot.org/core/,canonical
prefixcc,loc,http://www.w3.org/2007/uwa/context/location.owl#,canonical
prefixcc,wn,http://xmlns.com/wordnet/1.6/,canonical
prefixcc,gnd,http://d-nb.info/gnd/,canonical
prefixcc,acl,http://www.w3.org/ns/auth/acl#,canonical
prefixcc,cito,http://purl.org/spar/cito/,canonical
prefixcc,list,http://www.w3.org/2000/10/swap/list#,canonical
prefixcc,gd,http://rdf.data-vocabulary.org/#,namespace_alias
prefixcc,leak,http://data.ontotext.com/resource/leak/,canonical
prefixcc,sp,http://spinrdf.org/sp#,canonical
prefixcc,po,http://purl.org/ontology/po/,canonical
prefixcc,meta,https://krr.triply.cc/krr/sameas-meta/def/,canonical
prefixcc,httph,http://www.w3.org/2007/ont/httph#,canonical
prefixcc,fise,http://fise.iks-project.eu/ontology/,canonical
prefixcc,cro,http://rhizomik.net/ontologies/copyrightonto.owl#,canonical
prefixcc,lode,http://linkedevents.org/ontology/,canonical
prefixcc,opm,https://w3id.org/opm#,canonical
prefixcc,service,http://purl.org/ontology/service#,canonical
prefixcc,sider,http://www4.wiwiss.fu-berlin.de/sider/resource/sider/,canonical
prefixcc,acm,http://www.rkbexplorer.com/ontologies/acm#,canonical
prefixcc,ocd,http://dati.camera.it/ocd/,canonical
prefixcc,ya,http://blogs.yandex.ru/schema/foaf/,canonical
prefixcc,kb,http://deductions.sf.net/ontology/knowledge_base.owl#,canonical
prefixcc,atom,http://www.w3.org/2005/Atom/,canonical
prefixcc,dbpediaowl,http://dbpedia.org/owl/,canonical
prefixcc,ecs,http://rdf.ecs.soton.ac.uk/ontology/ecs#,canonical
prefixcc,zoology,http://purl.org/NET/biol/zoology#,canonical
prefixcc,sdo,https://schema.org/,canonical
prefixcc,ms,http://purl.org/obo/owl/MS#,canonical
prefixcc,xlink,https://es.scribd.com/doc/79794476/05-Ejercicios-Resueltos-Caja-Negra-y-Recapitulacion/,canonical
prefixcc,pr,http://purl.org/ontology/prv/core#,canonical
prefixcc,wdrs,http://www.w3.org/2007/05/powder-s#,canonical
prefixcc,penn,http://purl.org/olia/penn.owl#,canonical
prefixcc,mf,http://www.w3.org/2001/sw/DataAccess/tests/test-manifest#,canonical
prefixcc,wn20schema,http://www.w3.org/2006/03/wn/wn20/schema/,canonical
prefixcc,video,http://purl.org/ontology/video#,canonical
prefixcc,web,http://www.w3.org/2007/uwa/context/web.owl#,canonical
prefixcc,prv,http://purl.org/net/provenance/ns#,canonical
prefixcc,formats,http://www.w3.org/ns/formats/,canonical
prefixcc,organism,http://eulersharp.sourceforge.net/2003/03swap/organism#,canonical
prefixcc,hg,http://rdf.histograph.io/,canonical
prefixcc,example,http://www.example.org/rdf#,canonical
prefixcc,abc,http://www.metadata.net/harmony/ABCSchemaV5Commented.rdf#,canonical
prefixcc,umbelrc,http://umbel.org/umbel/rc/,canonical
prefixcc,user,http://schemas.talis.com/2005/user/schema#,canonical
prefixcc,olia,http://purl.org/olia/olia.owl#,canonical
prefixcc,geof,http://www.opengis.net/def/function/geosparql/,canonical
prefixcc,irw,http://www.ontologydesignpatterns.org/ont/web/irw.owl#,canonical
prefixcc,ignf,http://data.ign.fr/def/ignf#,canonical
prefixcc,swid,http://semanticweb.org/id/,canonical
prefixcc,pext,http://www.ontotext.com/proton/protonext#,canonical
prefixcc,cpa,http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#,canonical
prefixcc,postcode,http://data.ordnancesurvey.co.uk/id/postcodeunit/,canonical
prefixcc,spin,http://spinrdf.org/spin#,canonical
prefixcc,nco,http://www.semanticdesktop.org/ontologies/2007/03/22/nco#,canonical
prefixcc,smf,http://topbraid.org/sparqlmotionfunctions#,canonical
prefixcc,wgs,http://www.w3.org/2003/01/geo/wgs84_pos#,canonical
prefixcc,ndl,http://schemas.ogf.org/nml/2013/05/base#,canonical
prefixcc,rdfsharp,https://rdfsharp.codeplex.com/,canonical
prefixcc,wo,http://purl.org/ontology/wo/,canonical
prefixcc,pav,http://purl.org/pav/,canonical
prefixcc,iot,http://iotschema.org/,canonical
prefixcc,site,http://ns.ontowiki.net/SysOnt/Site/,canonical
prefixcc,admingeo,http://data.ordnancesurvey.co.uk/ontology/admingeo/,canonical
prefixcc,sesame,http://www.openrdf.org/schema/sesame#,canonical
prefixcc,daml,http://www.daml.org/2001/03/daml+oil#,canonical
prefixcc,cgov,http://reference.data.gov.uk/def/central-government/,canonical
prefixcc,pmt,http://tipsy.googlecode.com/svn/trunk/vocab/pmt#,canonical
prefixcc,sim,http://www.w3id.org/simulation/ontology/,canonical
prefixcc,hydra,http://www.w3.org/ns/hydra/core#,canonical
prefixcc,omt,http://purl.org/ontomedia/ext/common/trait#,canonical
prefixcc,wiki,http://en.wikipedia.org/wiki/,canonical
prefixcc,eu,http://eulersharp.sourceforge.net/2003/03swap/log-rules#,canonical
prefixcc,st,http://ns.inria.fr/sparql-template/,canonical
